transfer_created_by_customer_time,transfer_received_by_tw_time,transfer_converted_time,transfer_sent_out_by_tw_time,transfer_delivered_to_customer_time,payment_method
11/16/2015 9:42:07,11/17/2015 13:50:07,11/17/2015 15:35:27,11/17/2015 15:47:03,11/17/2015 16:02:03,A
11/6/2015 7:53:02,11/10/2015 11:45:03,11/10/2015 11:51:35,11/10/2015 12:18:00,11/10/2015 12:33:00,A
7/12/2015 11:56:50,7/14/2015 12:40:01,7/15/2015 16:55:37,7/15/2015 17:08:02,7/15/2015 17:23:02,A
5/30/2015 16:08:49,6/4/2015 11:55:09,6/4/2015 12:36:50,6/4/2015 14:50:42,6/4/2015 15:05:42,A
12/23/2015 18:37:16,12/29/2015 13:38:02,12/29/2015 13:52:59,12/29/2015 14:01:00,12/29/2015 14:16:00,A
8/7/2015 17:46:14,8/11/2015 12:15:04,8/12/2015 10:40:43,8/12/2015 11:01:03,8/12/2015 11:16:03,A
12/1/2015 21:19:34,12/3/2015 11:55:01,12/3/2015 11:57:58,12/3/2015 12:06:07,12/3/2015 12:21:07,A
5/27/2015 18:26:28,6/1/2015 13:54:25,6/1/2015 15:05:22,6/1/2015 15:18:03,6/1/2015 15:33:03,C
1/6/2015 23:04:53,1/8/2015 12:40:30,1/8/2015 12:54:58,1/8/2015 13:12:03,1/8/2015 13:27:03,A
7/28/2015 12:04:01,7/30/2015 12:58:42,7/30/2015 13:11:30,7/30/2015 13:17:01,7/30/2015 13:32:01,A
12/12/2015 16:06:18,12/15/2015 11:44:08,12/15/2015 11:48:00,12/15/2015 12:05:06,12/15/2015 12:20:06,A
5/31/2015 22:27:53,6/2/2015 12:50:06,6/2/2015 13:34:40,6/2/2015 13:57:02,6/2/2015 14:12:02,A
5/2/2015 9:37:36,5/5/2015 12:50:50,5/5/2015 13:14:35,5/5/2015 13:27:07,5/5/2015 13:42:07,A
1/9/2015 12:49:23,1/13/2015 11:05:51,1/13/2015 11:50:32,1/13/2015 11:55:00,1/13/2015 12:10:00,A
11/25/2015 19:52:17,11/27/2015 10:46:39,11/27/2015 11:04:31,11/27/2015 11:15:17,11/27/2015 11:30:17,A
5/13/2015 15:07:53,5/18/2015 11:17:48,5/18/2015 12:24:55,5/18/2015 12:36:01,5/18/2015 12:51:01,A
9/15/2015 18:01:46,9/17/2015 12:12:05,9/17/2015 12:23:55,9/17/2015 12:35:11,9/17/2015 12:50:11,A
1/15/2015 11:40:59,1/20/2015 12:46:27,1/20/2015 13:09:59,1/20/2015 17:24:26,1/20/2015 17:39:26,A
11/7/2015 17:55:01,11/10/2015 11:45:00,11/10/2015 11:51:35,11/10/2015 12:18:00,11/10/2015 12:33:00,A
4/25/2015 13:51:50,4/30/2015 14:59:35,4/30/2015 15:00:11,4/30/2015 15:16:41,4/30/2015 15:31:41,A
4/27/2015 21:23:37,4/29/2015 10:55:34,4/29/2015 11:54:10,4/29/2015 12:09:25,4/29/2015 12:24:25,A
7/20/2015 22:33:59,7/22/2015 12:58:50,7/22/2015 13:02:30,7/22/2015 13:07:00,7/22/2015 13:22:00,A
11/20/2015 21:04:37,11/30/2015 11:52:07,11/30/2015 12:10:39,11/30/2015 12:26:05,11/30/2015 12:41:05,A
6/30/2015 22:53:17,7/2/2015 13:05:05,7/2/2015 13:34:37,7/2/2015 13:43:04,7/2/2015 13:58:04,A
7/2/2015 12:38:41,7/6/2015 11:50:00,7/6/2015 12:12:16,7/6/2015 12:45:34,7/6/2015 13:00:34,A
9/25/2015 12:01:37,9/28/2015 12:45:00,9/28/2015 12:48:29,9/28/2015 13:00:02,9/28/2015 13:15:02,A
12/7/2015 20:08:46,12/9/2015 11:37:00,12/9/2015 11:51:11,12/9/2015 12:03:01,12/9/2015 12:18:01,A
3/20/2015 8:44:55,3/23/2015 11:37:19,3/23/2015 12:08:17,3/23/2015 12:21:03,3/23/2015 12:36:03,A
8/18/2015 18:07:11,8/20/2015 12:50:01,8/20/2015 12:59:04,8/20/2015 13:07:01,8/20/2015 13:22:01,A
12/6/2015 21:16:18,12/11/2015 10:39:09,12/11/2015 11:00:12,12/11/2015 11:09:00,12/11/2015 11:24:00,A
12/3/2015 0:53:42,12/3/2015 0:59:47,12/3/2015 1:20:42,12/3/2015 7:35:15,12/3/2015 7:50:15,B
1/27/2015 22:04:12,1/29/2015 11:56:52,1/29/2015 13:14:05,1/29/2015 13:34:08,1/29/2015 13:49:08,A
1/19/2015 12:24:48,1/22/2015 12:54:08,1/26/2015 17:56:10,1/26/2015 18:10:05,1/26/2015 18:25:05,A
